"","CTRL_1","CTRL_2","CTRL_3","EXPD4_1","EXPD4_2","EXPD4_3","TPA_1","TPA_2"
"1190002N15Rik /// LOC100044725",3.15934061936649,3.36281879980113,3.10496414565397,3.2623624562365,3.09218911888597,3.04098559820113,3.22446704509612,3.12007422719085
"1190003J15Rik",8.95964464373788,9.2717397156499,10.1005667630396,11.3582535813187,11.0274541055377,10.7806603836308,10.6485785277189,10.1553656176707
"1190003K10Rik",3.92933268552127,3.60686713949693,3.41339511455037,3.35331881926166,3.29759587427847,3.41914200351811,3.42839752870026,3.41766951013934
"1190005F20Rik",4.74386649689516,4.51544733926824,4.68805231937961,4.48604468358908,4.3038473153815,4.43767915469899,4.1935672654788,4.51956925496002
"1190005I06Rik",6.15809939885586,4.88491955750702,4.57143257757154,4.36526029487297,4.88508865397606,5.05819074127605,4.82954660458226,4.11890789343222
"1190007F08Rik",7.63601559507373,8.07537586305362,8.68647813917005,8.88906211753895,9.10752573263621,9.14664453582746,8.92741128233628,9.04791729790162
"1190007I07Rik /// 1810014B01Rik",5.35503310145272,5.42647304982548,5.01899520703886,4.78477915920622,5.43270859541968,5.50314893718039,5.80591861006861,4.75620458965861
"1200003I10Rik",3.86557468990368,3.8368844255033,4.26338490843827,4.37993516345132,3.37855906571974,3.34815217255743,3.86546565266894,3.71727009649411
"1200003I10Rik /// 1200015M12Rik /// A130040M12Rik /// E430024C06Rik",11.0194283750449,11.3124912933612,10.632129596942,12.0408361751229,11.5189961277362,11.5577082431106,10.3096274330578,10.4576391886738
"1200007C13Rik",5.02009849669623,5.16034798690324,4.4878696927717,5.08796682620316,4.52723653324086,4.48252770339559,4.5854088007198,4.72303311822709
"1200009I06Rik",5.36268235287147,4.97994813846893,4.90715879289442,4.92793465150061,4.81669519668182,4.75797346225947,4.66621406097319,4.6196644737467
"1200009O22Rik",4.85874361169575,5.1750637709585,4.91033206874265,4.60146771874301,4.70247772431236,5.22073002398217,4.9504003883188,4.54924607882978
"1200011I18Rik",4.34688395552883,4.92881302714173,4.65708266548953,4.72533060379683,5.3162554277726,4.71316667274462,5.22431289022937,4.82628572898605
"1200011M11Rik",4.73914710008593,5.15790899864061,4.33703187952633,5.30390967028883,5.35468797500345,4.864255260949,4.53164427994735,4.9069074965048
"1200014J11Rik",5.38100114606786,5.91418112857762,5.97485413687308,5.69334926297316,5.84347533288047,6.01933741849846,6.11163802260608,6.1110791489568
"1200015M12Rik /// A130040M12Rik /// E430024C06Rik",8.711647590281,10.182963045831,7.88433557184339,11.3156169044785,10.6037474280676,10.3802701054149,9.29005054438532,8.53084715446559
"1200016B10Rik",4.22831074557473,4.35530291637935,4.71460757592117,3.97944841435624,4.27777745756542,4.42370338737066,4.53640363279604,4.7368374257962
"1300001I01Rik",8.18617878445295,7.24451061221605,7.45557725231316,7.71471369250671,8.34164856510274,8.26228518547902,8.44421478316962,8.5639295440715
"1300002E11Rik",6.2066183960859,3.94140316139579,3.34313633696434,3.59256812657587,4.0854401858253,3.71096211123385,3.63756394393873,3.43846763418939
"1300002K09Rik",3.30139717571479,3.08405835005657,3.0208062963218,3.10405788976618,2.93186019435167,2.98155070887826,3.09650342278239,3.24753704067117
"1300003B13Rik",3.4230739750826,3.29710991363847,3.57477090027307,3.38515891733763,3.51764088515341,3.80004876975778,3.6395327290411,3.54299648010882
"1300010F03Rik",4.1398788755983,4.21015639694759,3.74392696300091,3.9217270094644,3.76538525051715,4.37298572920418,4.46002118917874,4.13577009678198
"1300014I06Rik",6.13045196710469,5.30460567688249,6.29215233377885,9.49259262489791,9.26821087387137,7.45454879454069,6.72593319740602,7.07803005793828
"1300014J16Rik",3.30827434910792,3.28137122457962,3.61764864657335,3.4634271058062,3.20007118491733,3.28494581033588,3.16509246037504,3.2824088221676
"1300015D01Rik",3.70765329175519,3.71735949006387,3.61754878585957,3.80721443355124,3.53967371077667,3.34113392198147,3.3780923719376,3.56341757842532
"1300017J02Rik",6.02695752969026,5.66032069990771,5.57046754990445,5.7056243095812,5.19587934516299,5.39579925905266,5.2894959518022,5.34881478087756
"1300018I17Rik",5.33806065464039,4.88864307812634,5.1291580036757,4.58421412296962,4.53862780905864,5.18391507020618,4.71966140105429,4.91854038479571
"1300018J18Rik",4.4240440080725,3.82478890946678,5.45006609459733,4.24994806550098,4.92152369393976,6.55260008863757,4.69567531187913,5.3943972111649
"130004C03",3.86687248919852,3.83590513666196,3.38411552973381,3.4933946041876,3.48694503732568,4.07771897660238,3.67746409412317,3.76635977666587
"1500001M20Rik",4.59822593936089,5.89712616873635,5.72225387867095,6.22471481944053,7.49037717855216,6.42810281949291,7.03309540351749,6.84451983971096
"1500002C15Rik",5.22943398889321,5.85767462574948,5.06965327328863,5.10251851643378,5.11403470693656,5.04659323029187,5.04693490735744,4.72664145910165
"1500002F19Rik",3.14737847970802,3.47901262994521,3.48571292379861,3.59399566425212,3.36697639372451,3.14681964489456,2.97684420689146,3.24799024316996
"1500002F19Rik /// BC002195",6.05299332843142,5.96371392545003,4.82486520753432,6.09874431652544,6.01992909617609,5.70255760373548,5.51865487546984,5.81927773759449
"1500002I01Rik",4.40715909355274,3.9178461081959,3.89597574057831,4.29639798714533,3.64067644980622,3.63485970455878,3.65360031893583,3.60348742757919
