ENTREZID	log2FoldChange
67345	1.61836477318788
15251	1.48403725138085
15254	1.44632876697032
68917	1.38042082195924
15288	1.32952908466597
97165	1.33318842962286
15357	1.15305942936228
77134	1.75229930044487
56258	1.01469791226272
23908	1.67157623511387
15519	1.28113513016392
15526	1.11171843625435
12282	2.00859650358512
105148	2.0867551609136
15894	1.45003414124025
15925	1.6065626055511
15925	1.6065626055511
15925	1.54399575301194
15925	1.54399575301194
67834	1.0694684270213
15939	2.00632747091882
66141	1.17066280596292
15982	2.63967552909848
16004	1.90996233372376
78908	1.87961867405561
78908	1.37871868175899
16164	2.27265616561209
77125	2.91514809850606
16190	1.92021242261699
16190	1.79246455876123
76614	1.59193293026587
55980	2.6642465426799
23918	1.36092394163682
16319	1.92968014564458
109077	1.27481059911344
109077	2.11075707062411
75751	2.34950276337589
70572	1.27817761423769
226432	1.27749321227233
16400	1.73127568199432
16403	1.61186913560979
16403	1.02329955697555
16412	1.15305274547767
16412	1.94812985448761
16412	2.51944740331364
16413	1.69841512543992
16443	1.85763134542832
73473	1.35191854744983
16449	1.10743833578997
16468	1.63137190049327
16477	2.18197120476366
14534	1.19756567220533
16516	2.28977277528725
238076	1.02443976201882
225876	1.8866382664597
225876	1.17427363063228
73804	1.95996834575836
16593	1.0450494957693
16647	2.31008998088876
16211	1.39375517897165
16653	1.76808336094522
16666	4.309556727508
16687	5.08215378104242
16687	4.458359416937
16688	7.09075666535437
16774	1.03040900845287
16782	1.29808704867584
207214	1.66998307571053
16796	1.40571059223196
16796	1.81558408862153
16796	1.50206628662609
16796	1.53972178521948
16819	3.22509433285802
16828	1.13092454105003
16835	1.72664743681972
246316	2.73840340095738
16885	1.61826553981112
16906	1.38163752492462
140887	1.4092181903625
98238	2.08793206077443
16978	1.8047019155777
268977	2.33744269873979
17069	2.93092316172488
17089	1.216628921456
67075	1.03529328959764
74840	1.53430509934083
17161	1.6201207575487
26397	1.03734368430942
23938	1.61233718182792
53608	1.05863342088762
26921	2.20648127709209
50772	2.53017487303172
50772	2.90525468000099
13589	1.74571134607945
223455	1.20158890235634
17118	1.3373779076182
17118	1.61061781001238
17357	2.1684234930083
232087	1.08279251837523
232087	1.08279251837523
17210	1.65517345407792
17216	2.47472971122563
17218	2.82041001988318
17448	2.10795593508897
17279	1.52426276003743
17295	1.48899581315905
67011	1.3927152729626
240396	1.8062374850594
56615	1.9452774687064
17392	1.77832994328477
21761	1.31613811359311
56397	1.18195758882257
56397	1.20477114627386
27397	1.34689727434437
94065	1.07408633521525
66223	1.13946709674178
64655	1.46654605651671
64656	1.32899117759766
64656	1.32899117759766
64660	1.66695498234958
99045	1.26266644718673
121022	1.14790645505277
17698	1.78536696639724
17748	1.10547914700871
17750	1.93174674661464
17765	1.56875025703898
108156	1.8261844286239
14489	1.50740363410295
211401	1.4127096883079
211401	1.97576179098434
17827	1.50204650225083
78388	1.04869399795335
17874	1.2707894781094
17886	1.12497121684493
17886	1.11241606891637
17909	1.41785236803519
74838	1.10927770927082
231713	1.1951142849676
192185	1.17732587727149
53605	1.77731139092546
53605	1.29033900235231
70223	1.4659825729561
50927	1.87992626419807
215690	2.58461286112897
68298	1.4765786546528
54392	2.24275022621676
215387	1.95969774246602
66414	1.73299538213384
66414	1.60993716909324
17992	2.03901928081619
68493	2.33044749312622
68198	1.02001336939245
66916	1.3153788818644
66218	1.34068321108661
66377	1.3021478296417
68197	1.15139391734796
225887	2.36673065697327
225887	1.65974377678272
225887	2.57566732214407
18033	1.36501179145003
18035	1.09500587231372
56748	1.54164121853328
18045	2.03465679411429
52530	1.43149657273609
52530	2.80051250045457
65102	2.16698431727377
93790	1.43541644826059
77286	1.3961568839809
230082	1.05642101916647
75416	1.24262412655136
28126	2.01729940153648
18164	1.63343180965037
641340	1.63940221915542
641340	1.63940221915542
268903	1.35079615818947
52653	1.38351610744345
110959	1.42314492143706
53893	1.43617055219063
234865	2.30793034356169
170762	1.26299833337182
70699	1.97615991401652
69912	1.61306719678297
69912	1.61306719678297
52014	1.14945335943115
18263	3.30243170077395
67059	2.3717074202488
237542	2.30764136262649
18414	2.73374957664679
18414	1.04651924120595
66357	1.72944014845449
170711	1.58041456288618
18453	1.49126010838558
18813	1.98544973012989
18813	1.45869553315117
230721	1.22859770102821
18475	1.06294418248293
68083	2.11888427957272
55991	1.76014403705454
54216	2.62671449111841
18537	2.9240897687586
18537	2.9240897687586
18538	1.45698855152309
18571	1.42189195292322
18571	1.73179318203859
18611	1.09285041945795
19298	1.53489215693922
56698	1.86145759723683
68479	1.06953716780494
27280	1.50646451546126
73373	1.16477457500526
233489	1.43230874481806
18701	1.51014017234844
329777	1.24349434166797
14755	1.52285827784918
71795	1.91359978812941
71795	2.22412383165023
69617	1.60918853606199
18744	2.31056227383823
109333	2.02125050897924
18798	1.26022952750352
353047	1.20181138440208
11520	2.08978062436787
65112	2.2470679962802
66249	1.63128617097256
69745	1.56312407138695
69745	1.56312407138695
20019	1.44290893036418
20022	1.09848928055732
107939	1.19304263861946
107939	2.37192204890536
170826	1.5979280808963
231327	3.23911998347201
233977	1.13585952150312
223828	1.5109779844807
105675	2.25129121081344
228005	1.70777421890967
66101	3.93234600091132
19047	1.2008224590909
66849	1.49276533340812
70351	2.15619095151599
66943	1.91625229296269
233406	1.24654128687464
53381	2.25001940747105
19076	1.60300399132764
19087	1.62029059433844
19089	1.13388402367045
19122	1.54641939135351
56194	1.54162766235262
19142	2.35252440555597
107272	1.00034857300361
26443	1.15894276967146
26444	1.52097764270348
23996	1.06493438143974
70247	1.18473208814999
69077	1.04620623831221
17463	1.34432884932278
19192	2.00069919877228
