"","ID","CTRL","TPA","FC","Pvalue","Gene Symbol"
"129","1418606_PM_at",7.72820666666667,9.03835,1.31014333333333,0.00805342178252523,"Hoxd10"
"130","1418626_PM_a_at",5.67476666666667,7.0415,1.36673333333333,0.00640194244305908,"Clu /// LOC100046120"
"131","1418627_PM_at",9.45216333333333,8.41067,-1.04149333333333,0.00987425704118511,"Gclm"
"132","1418637_PM_at",6.69150666666667,7.859995,1.16848833333333,0.036972721924811,"Etv3"
"133","1418645_PM_at",7.97946333333333,6.58062,-1.39884333333333,0.0489015418092799,"Hal"
"134","1418655_PM_at",11.4941,10.1229,-1.3712,0.0201237345827677,"B4galnt1"
"135","1418678_PM_at",9.45728666666667,7.55193,-1.90535666666667,0.00435524644427454,"Has2"
"136","1418710_PM_at",9.24647333333333,10.504,1.25752666666667,0.0169424959117123,"Cd59a"
"137","1418714_PM_at",6.37305333333333,7.691705,1.31865166666667,0.000929330731564601,"Dusp8"
"138","1418726_PM_a_at",8.72845,6.16075,-2.5677,0.000613759309707755,"Tnnt2"
"139","1418748_PM_at",7.53405333333333,9.814395,2.28034166666667,0.000300846525894019,"Casp14"
"140","1418752_PM_at",10.1105333333333,11.44015,1.32961666666666,0.0098974731116272,"Aldh3a1"
"141","1418762_PM_at",7.00029666666667,8.43843,1.43813333333333,0.00227763694880523,"Cd55"
"142","1418773_PM_at",9.36631333333333,6.319515,-3.04679833333333,0.0220167684215239,"Fads3"
"143","1418778_PM_at",9.31679,7.661855,-1.654935,0.0263544258250629,"Ccdc109b"
"144","1418791_PM_at",6.03027,7.742825,1.712555,0.0266872611139071,"Sh3gl2"
"145","1418840_PM_at",10.2965666666667,11.8767,1.58013333333333,0.000392202239453482,"Pdcd4"
"146","1418844_PM_at",7.60338666666667,6.36004,-1.24334666666667,0.00389285189909425,"Alg9"
"147","1418912_PM_at",8.21405666666667,9.218335,1.00427833333333,0.00347614770348965,"Plxdc2"
"148","1418930_PM_at",6.25546333333333,7.81715,1.56168666666667,0.0389275495799384,"Cxcl10"
"149","1418945_PM_at",10.728,9.591825,-1.136175,0.000733764890852166,"Mmp3"
"150","1419029_PM_at",10.1558666666667,8.824455,-1.33141166666667,0.00154863735254842,"Ero1l"
"151","1419030_PM_at",9.67956,8.445025,-1.234535,0.0498430378280011,"Ero1l"
"152","1419082_PM_at",8.81259333333333,10.0893,1.27670666666667,0.00671784623012671,"Serpinb2"
"153","1419088_PM_at",6.61056,9.61872,3.00816,0.0256051145348655,"Timp3"
"154","1419089_PM_at",7.36259,10.5208,3.15821,0.0102016285191732,"Timp3"
"155","1419100_PM_at",6.90976333333333,8.009975,1.10021166666667,0.00206433527831909,"Serpina3n"
"156","1419149_PM_at",12.0899666666667,8.151115,-3.93885166666667,6.52747865464332e-05,"Serpine1"
"157","1419168_PM_at",11.9017333333333,10.6761,-1.22563333333333,3.85907542823631e-05,"Mapk6"
"158","1419169_PM_at",10.5921333333333,8.853235,-1.73889833333333,0.00857423494460248,"Mapk6"
"159","1419184_PM_a_at",9.44681,8.11453,-1.33228,0.0131993588950735,"Fhl2"
"160","1419188_PM_s_at",7.01628333333333,10.1192,3.10291666666667,0.00707289001182988,"Ccl27a /// Gm13306"
"161","1419309_PM_at",12.1139,8.51535,-3.59855,0.00246507548617557,"Pdpn"
"162","1419354_PM_at",9.99402666666667,8.75331,-1.24071666666667,0.000386387819737353,"Klf7"
"163","1419355_PM_at",9.78305333333333,8.037575,-1.74547833333333,0.00288349699607708,"Klf7"
"164","1419358_PM_at",10.435,8.6814,-1.7536,0.000518716113733397,"Sorcs2"
"165","1419415_PM_a_at",9.2422,10.25865,1.01645,0.000577892283095301,"Rarg"
"166","1419431_PM_at",8.01295,5.46416,-2.54879,0.001078954772825,"Ereg"
"167","1419463_PM_at",6.10381666666667,8.42877,2.32495333333333,0.0329518582637409,"Clca2"
"168","1419491_PM_at",9.56522333333333,8.34101,-1.22421333333333,0.00232468049364178,"Defb1"
"169","1419492_PM_s_at",8.68181666666667,7.50032,-1.18149666666667,0.00488551603919205,"Defb1"
"170","1419498_PM_at",8.87838333333333,4.717635,-4.16074833333333,0.027137651763034,"Tmigd1"
"171","1419532_PM_at",6.59478333333333,8.950685,2.35590166666667,0.0277685496229031,"Il1r2"
"172","1419549_PM_at",10.5676,6.278815,-4.288785,0.00166628053182087,"Arg1"
"173","1419573_PM_a_at",11.2828666666667,7.99142,-3.29144666666667,0.00207165943790552,"Lgals1"
"174","1419591_PM_at",10.0469366666667,8.76541,-1.28152666666667,0.000959966830903592,"Gsdmc"
"175","1419618_PM_at",5.47277,8.35445,2.88168,0.000551895478958965,"Bbox1"
"176","1419619_PM_at",7.37847,9.39571,2.01724,0.000860116094743346,"Krt80"
"177","1419665_PM_a_at",10.5690333333333,9.068465,-1.50056833333333,0.0438872762813351,"Nupr1"
"178","1419666_PM_x_at",9.40556333333333,8.116485,-1.28907833333333,0.0395296373486863,"Nupr1"
"179","1419667_PM_at",8.73103666666667,7.5308,-1.20023666666667,0.00162857147603336,"Sgcb"
"180","1419687_PM_at",8.13244,9.353365,1.220925,0.000753430549975204,"Macrod1"
"181","1419766_PM_at",8.98828333333333,10.70145,1.71316666666667,0.00156011521995443,"Sik1"
"182","1419874_PM_x_at",5.19622666666667,7.32518,2.12895333333333,0.00504252346412616,"Zbtb16"
"183","1419905_PM_s_at",5.22787,6.31839,1.09052,0.00538685165778216,"Hpgd"
"184","1420070_PM_a_at",7.26469666666667,6.02896,-1.23573666666667,0.000365544343854942,"Slc9a5"
"185","1420098_PM_s_at",9.34846333333333,8.30688,-1.04158333333333,0.0293511214001187,"D13Ertd787e"
"186","1420148_PM_at",8.67687333333333,10.11985,1.44297666666666,0.00197239418530598,"Slc6a6"
"187","1420150_PM_at",10.1475933333333,6.72755,-3.42004333333333,0.00481822951763633,"Spsb1"
"188","1420178_PM_at",8.87189333333333,10.20795,1.33605666666667,0.0255153922024054,""
"189","1420187_PM_at",9.65555333333333,10.742,1.08644666666667,0.00248555569187004,"C76628"
"190","1420201_PM_at",8.03138666666667,6.150545,-1.88084166666667,0.00185477931756234,""
"191","1420311_PM_s_at",5.34056333333333,6.4744,1.13383666666667,0.0397826034319139,""
"192","1420352_PM_at",9.12080666666667,7.420925,-1.69988166666667,0.00374216832541724,"Prss22"
"193","1420443_PM_at",6.78718666666667,4.87088,-1.91630666666667,0.00200072960208998,"Pcdhb19"
"194","1420450_PM_at",11.1966333333333,7.12272,-4.07391333333333,2.23096440466e-05,"Mmp10"
"195","1420521_PM_at",7.34969333333333,8.905015,1.55532166666667,0.000646709711328423,"Papln"
"196","1420583_PM_a_at",10.1972,11.76365,1.56645,0.000521976399110641,"Rora"
"197","1420589_PM_at",10.1768333333333,6.456385,-3.72044833333333,0.000133759765139148,"Has3"
"198","1420631_PM_a_at",9.87534666666667,8.76555,-1.10979666666666,0.00390202970368075,"Blcap"
"199","1420641_PM_a_at",8.73919333333333,6.943895,-1.79529833333333,0.0260760224437693,"Sqrdl"
"200","1420653_PM_at",9.54095,8.28178,-1.25917,0.00030793794235093,"Tgfb1"
"201","1420664_PM_s_at",11.1076333333333,6.91664,-4.19099333333333,0.000239987973197798,"Procr"
"202","1420678_PM_a_at",7.22067666666667,8.57165,1.35097333333333,0.0181501149613782,"Il17rb"
"203","1420684_PM_at",6.86191666666667,8.090985,1.22906833333333,0.0176030009487034,"Acox3"
"204","1420710_PM_at",7.24356666666667,8.50112,1.25755333333333,0.00466108225949971,"Rel"
"205","1420752_PM_at",8.35758666666667,9.475125,1.11753833333333,0.0413642078092826,"Dtx3 /// LOC100045005"
"206","1420753_PM_at",9.9654,7.425145,-2.540255,0.00225662105377211,"Tll1"
"207","1420760_PM_s_at",12.1679666666667,10.80055,-1.36741666666667,0.000270647994070712,"Ndrg1"
"208","1420774_PM_a_at",7.6978,6.600695,-1.097105,0.0113627298364132,"4930583H14Rik"
"209","1420779_PM_at",9.46904,7.89342,-1.57562,0.000710303384483588,"Fhl3"
"210","1420816_PM_at",10.9769333333333,9.81013,-1.16680333333333,0.0227563541090165,"Ywhag"
"211","1420817_PM_at",10.9587666666667,9.59611,-1.36265666666667,0.0256976238936274,"Ywhag"
"212","1420821_PM_at",6.96013666666667,8.081435,1.12129833333333,0.0142542239181232,"Sgpp1"
"213","1420823_PM_at",7.79237333333333,6.76985,-1.02252333333333,0.0388763435243959,"Sema4d"
"214","1420824_PM_at",10.1791,8.30593,-1.87317,0.0021971615550794,"Sema4d"
"215","1420831_PM_at",9.217,8.037775,-1.179225,0.00953985312619447,"Qsox1"
"216","1420837_PM_at",6.29477666666667,8.461245,2.16646833333334,0.000862328885479517,"Ntrk2"
"217","1420838_PM_at",7.75109,9.20666,1.45557,0.000558069172380123,"Ntrk2"
"218","1420847_PM_a_at",11.0359333333333,12.0385,1.00256666666667,0.000124919892940225,"Fgfr2"
"219","1420873_PM_at",9.95189,7.6444,-2.30749,0.012601348637127,"Twf1"
"220","1420874_PM_at",11.0239666666667,9.26583,-1.75813666666667,0.0188349536443966,"Twf1"
"221","1420875_PM_at",11.3261,10.02407,-1.30203,0.00112872524912447,"Twf1"
"222","1420909_PM_at",9.19858333333333,7.697235,-1.50134833333333,0.00136023400482783,"Vegfa"
"223","1420914_PM_at",8.49006333333333,7.22458,-1.26548333333333,0.0144942857100277,"Slco2a1"
"224","1420961_PM_a_at",8.49729,9.663475,1.166185,0.000344648969557332,"Ivns1abp"
"225","1420972_PM_at",8.87163,10.0524,1.18077,0.00654132292681335,"Arid5b"
"226","1420973_PM_at",8.23304333333333,9.534505,1.30146166666667,0.00757136567210443,"Arid5b /// LOC100044968"
"227","1420979_PM_at",10.4389333333333,9.20641,-1.23252333333333,0.000311287523484894,"Pak1"
"228","1421006_PM_at",6.61712666666667,9.551595,2.93446833333333,0.000405550084657991,"Col4a6"
"229","1421007_PM_at",6.41999666666667,9.24929,2.82929333333333,0.00101605882267799,"Col4a6"
"230","1421022_PM_x_at",7.71417333333333,8.791235,1.07706166666667,0.0116401916252318,"Acyp1"
"231","1421031_PM_a_at",8.1744,6.48769,-1.68671,0.0112935217782884,"2310016C08Rik"
"232","1421037_PM_at",5.61991666666667,7.817135,2.19721833333333,0.000479785181864009,"Npas2"
"233","1421038_PM_a_at",10.2285666666667,7.152915,-3.07565166666667,0.000284671627147457,"Kcnn4"
"234","1421058_PM_at",6.32615666666667,7.66999,1.34383333333333,0.0235335873058081,"Adh7"
"235","1421074_PM_at",7.01926,4.8273,-2.19196,0.00416911432753153,"Cyp7b1"
"236","1421103_PM_at",8.96685333333333,7.64491,-1.32194333333333,0.00722248056101423,"Bmp2k"
"237","1421106_PM_at",10.6514666666667,9.563625,-1.08784166666667,0.000140958111878633,"Jag1"
"238","1421124_PM_at",7.52550333333333,6.386655,-1.13884833333333,0.00988801258766938,"Cdk5r1"
"239","1421134_PM_at",11.3061333333333,7.11281,-4.19332333333333,0.0135490711826494,"Areg"
"240","1421156_PM_a_at",10.7599,6.7366,-4.0233,5.79405831908581e-05,"Dsc2"
"241","1421184_PM_a_at",10.3067333333333,11.82445,1.51771666666667,0.0033899162580772,"Gm10035 /// Higd1c /// Mettl7a1 /// Mettl7a2 /// Mettl7a2-Higd1c"
"242","1421199_PM_at",5.97320666666667,7.89936,1.92615333333333,0.00138553679344792,"Dlg2"
"243","1421200_PM_at",5.80564,7.307515,1.501875,0.00111390888028277,"Dlg2"
"244","1421244_PM_at",8.95427,9.973275,1.019005,0.0018368929639224,"Esr1"
"245","1421252_PM_a_at",9.27077666666667,10.40955,1.13877333333333,0.0159080354976142,"Mef2a"
"246","1421276_PM_a_at",8.43149,9.749465,1.317975,0.00456244517896577,"Dst"
"247","1421279_PM_at",11.7002666666667,10.38025,-1.32001666666667,0.00398771192386954,"Lamc2"
"248","1421346_PM_a_at",9.64808,10.8507,1.20262,0.000108827584283758,"Slc6a6"
"249","1421350_PM_a_at",9.72203,8.66584,-1.05619,0.0377278195562975,"Grip1"
"250","1421403_PM_at",7.42411,4.84069,-2.58342,0.00687376553012401,"Pi15"
"251","1421410_PM_a_at",5.89513,4.844095,-1.051035,0.0351175319540401,"Pstpip2"
"252","1421411_PM_at",7.04822333333333,5.642325,-1.40589833333333,0.0106072490850166,"Pstpip2"
"253","1421426_PM_at",6.61169666666667,7.84455,1.23285333333333,0.00341370902607462,"Hhip"
"254","1421452_PM_at",7.24541666666667,8.594865,1.34944833333333,0.000421401634641693,"Cdon"
"255","1421473_PM_at",6.16006,4.97551,-1.18455,0.000213289786231602,"Il1a"
"256","1421492_PM_at",8.28616666666667,6.575595,-1.71057166666667,0.00772681776823377,"Hpgds"
"257","1421497_PM_at",6.86372666666667,10.40095,3.53722333333333,0.0183183945196491,"Gpha2"
"258","1421499_PM_a_at",7.56178666666667,9.69433,2.13254333333333,0.00223588328565153,"Ptpn14"
"259","1421622_PM_a_at",6.61298333333333,7.909995,1.29701166666667,0.0233555349181343,"Rapgef4"
"260","1421624_PM_a_at",10.7455,9.49513,-1.25037,0.000489850449957213,"Enah"
"261","1421718_PM_at",7.36863666666667,6.12202,-1.24661666666667,0.0268948329308466,"Strm"
"262","1421811_PM_at",9.06677666666667,11.17825,2.11147333333333,0.0246922178612127,"LOC640441 /// Thbs1"
"263","1421830_PM_at",8.13829666666667,6.27644,-1.86185666666667,0.00714734240212418,"Ak3l1 /// LOC100047616"
"264","1421929_PM_at",8.4168,9.464355,1.047555,0.0216815327535378,"Epha4"
"265","1421942_PM_s_at",10.6045333333333,7.42846,-3.17607333333333,0.0400552004440674,"Tgfa"
"266","1421943_PM_at",9.05071333333333,5.96526,-3.08545333333333,0.00113814453463159,"Tgfa"
"267","1421967_PM_at",7.61948666666667,6.527455,-1.09203166666667,0.0381070818420531,"B4galt5"
"268","1421987_PM_at",7.97722666666667,6.05006,-1.92716666666667,0.001952565896254,"Papss2"
"269","1421989_PM_s_at",10.00453,7.754095,-2.250435,0.000830246961721529,"Papss2"
"270","1422029_PM_at",6.54272666666667,7.89433,1.35160333333333,0.000982553485230078,"Ccl20"
"271","1422039_PM_at",8.68949333333333,6.737185,-1.95230833333333,0.0112633804503178,"Tnfrsf22"
"272","1422045_PM_a_at",7.96591,6.48441,-1.4815,0.00795874427836141,"Ptpn12"
"273","1422051_PM_a_at",6.61165,7.717505,1.105855,0.0103390119541029,"Gabbr1"
"274","1422053_PM_at",11.7094666666667,6.54367,-5.16579666666667,8.75271196859955e-05,"Inhba"
"275","1422087_PM_at",6.51812666666667,8.40597,1.88784333333333,0.0123581478310443,"Mycl1"
"276","1422088_PM_at",6.59917333333333,8.69581,2.09663666666667,0.00721289728187134,"Mycl1"
"277","1422101_PM_at",9.00753333333333,5.933955,-3.07357833333333,2.09240917668856e-05,"Tnfrsf23"
"278","1422126_PM_a_at",7.95904666666667,9.0593,1.10025333333333,0.0233171778520768,"Nudt13"
"279","1422138_PM_at",9.79301333333333,8.29426,-1.49875333333333,0.00763807318815254,"Plau"
